["00 00 00 00 00  00 00 00 00 00"
 "00 0A 02 02 02  02 02 01 00 00"
 "00 00 00 00 00  00 00 01 00 00"
 "00 00 00 03 20  00 02 03 10 00"
 "00 00 00 01 00  00 00 01 00 00"
 "00 00 00 01 00  00 00 01 00 00"
 "00 00 00 02 02  02 02 00 00 00"
 "00 00 00 00 00  00 00 00 00 00"
 "00 00 00 00 00  00 00 00 00 00"
 "00 00 00 00 00  00 00 00 00 00"]

["00 00 00 00 00  00 00 00 00 00"
 "00 0A 02 02 02  02 02 01 00 00"
 "00 00 00 00 00  00 00 01 00 00"
 "00 00 00 00 21  00 02 03 10 00"
 "00 00 00 00 01  00 00 01 00 00"
 "00 00 00 03 00  00 00 01 00 00"
 "00 00 00 02 02  02 02 00 00 00"
 "00 00 00 00 00  00 00 00 00 00"
 "00 00 00 00 00  00 00 00 00 00"
 "00 00 00 00 00  00 00 00 00 00"]
